gene_selected;gene_evaluated;corr;pvalue;rank;is_on_pathway
DICER1;TAF3;0,137611562;4,007792128;117;0
DICER1;ALG13;0,139168736;4,007017039;118;0
DICER1;EMC6;0,136257233;3,990527117;119;0
DICER1;WDR25;0,136171605;3,986122323;120;0
DICER1;CDC42SE1;-0,136144279;3,984717176;121;0
DICER1;COMMD2;0,136104063;3,982649699;122;0
DICER1;TUBE1;0,136052197;3,979984124;123;0
DICER1;CCL26;-0,135664382;3,960083131;124;0
DICER1;ANKRD39;-0,13543262;3,948215403;125;0
DICER1;PINK1;0,135262922;3,939537759;126;0
DICER1;ZNF720;-0,134583567;3,904900131;127;0
DICER1;ARSK;0,134403752;3,895759278;128;0
DICER1;PTPN12;-0,134383633;3,894737229;129;0
DICER1;ZFYVE26;0,134286967;3,889828629;130;0
DICER1;DBP;-0,134182605;3,884532914;131;0
DICER1;CCDC130;-0,13398328;3,874429115;132;0
DICER1;RAP1A;0,13359852;3,854965055;133;0
DICER1;MED19;0,134417174;3,846012785;134;0
DICER1;SLC52A3;0,133412296;3,84556319;135;0
DICER1;METTL1;0,133395284;3,844704909;136;0
DICER1;TARBP2;0,133310872;3,840447714;137;0
DICER1;ZNF213;-0,133192934;3,834503877;138;0
DICER1;MRPL27;-0,133166772;3,833186025;139;0
DICER1;COPS7A;-0,132821769;3,815829828;140;0
DICER1;GRK2;-0,13281575;3,815527421;141;0
DICER1;CUL2;0,132601361;3,804763587;142;0
DICER1;LRRC17;0,132233652;3,786339585;143;0
DICER1;NAGPA;-0,13222818;3,786065766;144;0
DICER1;PYURF;-0,131934057;3,771363535;145;0
DICER1;TRMT61A;0,131900232;3,769674684;146;0
DICER1;IGFBP7;-0,131893234;3,769325323;147;0
DICER1;DPH6;0,131737052;3,761532866;148;0
DICER1;SHISA6;0,131654245;3,75740479;149;0
DICER1;ZXDA;-0,132970624;3,745083948;150;0
DICER1;SINHCAF;0,132302557;3,740864992;151;0
DICER1;ADRA1B;0,131271389;3,738350097;152;0
DICER1;BCL2;0,131189182;3,734265389;153;0
DICER1;FIBP;-0,130824183;3,716157794;154;0
DICER1;MDFI;-0,130734961;3,711738566;155;0
DICER1;RSU1;0,130525286;3,701364227;156;0
DICER1;TTK;-0,130385317;3,694447394;157;0
DICER1;WDR82;0,131248837;3,689046711;158;0
DICER1;HIVEP2;-0,129803426;3,66576567;159;0
DICER1;PHRF1;0,130762738;3,665271245;160;0
DICER1;FAM20A;0,129677227;3,659560878;161;0
DICER1;CHRDL2;-0,129575944;3,654585172;162;0
DICER1;SLC35B1;0,129513729;3,651530497;163;0
DICER1;MRRF;-0,12948178;3,649962409;164;0
DICER1;GET4;0,129431583;3,647499355;165;0
DICER1;BTBD6;0,129412153;3,646546189;166;0
DICER1;INSIG1;0,129271789;3,639664506;167;0
DICER1;C10orf71;-0,129257507;3,63896468;168;0
DICER1;PRAF2;-0,13051907;3,625556344;169;0
DICER1;SPERT;-0,128932959;3,623080925;170;0
DICER1;UTP6;-0,128720607;3,612708103;171;0
DICER1;DDX3X;-0,130203624;3,610325696;172;0
DICER1;TAS2R5;0,128660193;3,609759925;173;0
DICER1;REG1B;-0,128618527;3,607727344;174;0
DICER1;TRIP12;-0,129415151;3,59978565;175;0
DICER1;ECSIT;-0,128235208;3,589056753;176;0
DICER1;RNF169;-0,12918182;3,58851049;177;0
DICER1;IGFBP6;-0,128031618;3,579161179;178;0
DICER1;OR4F21;0,12790693;3,573107803;179;0
DICER1;DIABLO;-0,127880158;3,571808811;180;0
DICER1;POU2AF1;0,127786581;3,567270233;181;0
DICER1;ELOB;0,128740664;3,567243918;182;0
DICER1;TDRD9;-0,128623409;3,561602719;183;0
DICER1;UBE4A;-0,127485064;3,552667264;184;0
DICER1;ATL2;0,127418149;3,549430743;185;0
DICER1;FCRL1;-0,127408398;3,548959213;186;0
DICER1;SYT12;-0,127301219;3,54377884;187;0
DICER1;TAT;-0,128185815;3,540591558;188;0
DICER1;LSM1;-0,127230905;3,540382471;189;0
DICER1;NSRP1;-0,127218679;3,53979214;190;0
DICER1;SLC35B3;0,127215545;3,539640791;191;0
DICER1;TRIM28;0,128154062;3,539069523;192;0
DICER1;TSGA13;0,127171715;3,537524772;193;0
DICER1;AP3M2;-0,127158042;3,536864836;194;0
DICER1;C16orf54;-0,127018596;3,530137817;195;0
DICER1;NRP1;-0,126863894;3,522682786;196;0
DICER1;SNAI2;0,12778183;3,521252554;197;0
DICER1;ZNF286A;0,126827815;3,520945314;198;0
DICER1;ZFP37;-0,126723418;3,515920495;199;0
DICER1;CPXCR1;-0,128227752;3,515697197;200;0
DICER1;C1QB;0,126636403;3,511735189;201;0
DICER1;OR2AP1;-0,126513525;3,505829424;202;0
DICER1;TCIM;-0,126405122;3,500623675;203;0
DICER1;RORC;-0,126295999;3,495387545;204;0
