SELECTED_GENE;EVALUATED_GENE;CORRELATION;PVALUE;is_on_pathway
GART;HCCS;0.3161821572866575;1.5164053615700094e-23;0
GART;IREB2;0.31488066290814853;2.348201268762867e-23;0
GART;DHFR2;0.31323849193885644;4.064695822525145e-23;0
GART;MRPL47;0.31192858184985084;6.281130356504802e-23;0
GART;LARS2;0,311908646;6.322765276879196e-23;0
GART;RABIF;0.3107381088679361;9.310929205044662e-23;0
GART;TADA1;0.31053829376420267;9.945132461716265e-23;0
GART;AZIN1;0.3099758170319687;1.196880299580223e-22;0
GART;COA5;0.30778656892766987;2.4517936022140446e-22;0
GART;VARS2;0.30733652818906926;2.8390932961106914e-22;0
GART;DARS2;0.3048493981723594;6.356214139660478e-22;0
GART;PET117;0.30428097279898725;7.633460121324859e-22;0
GART;COX4I1;0.30381426936831424;8.869154880366612e-22;0
GART;MRPS24;0.30374434323436095;9.070580733705102e-22;0
GART;SMARCD1;0.30081873865773845;2.3083792998360367e-21;0
GART;IKZF1;0.30053926162171085;2.522424618524059e-21;0
GART;COQ4;0.29975961034034226;3.22871037405912e-21;0
GART;TAFAZZIN;0.29975049978900314;3.2380232154517857e-21;0
GART;PPP6C;0.29971265309004563;3.2769950962929005e-21;0
GART;SCO2;0.2996402380675399;3.35285856149736e-21;0
GART;PICALM;0.2995498012643473;3.450041514730033e-21;0
GART;SSBP1;0.2986896465075843;4.525105376062399e-21;0
GART;GCSH;0.29864777447316093;4.585146570969088e-21;0
GART;SLC5A3;0.2985683723800692;4.7011713061122874e-21;0
GART;MRPL23;0.29814373041251396;5.372663203265337e-21;0
GART;EARS2;0.2978634843350032;5.8668277759160856e-21;0
GART;HSD17B10;0.2972634257306875;7.080832987027605e-21;0
GART;PGP;0.2962572924891673;9.69634782041377e-21;0
GART;SLC25A26;0.2950442335408725;1.4141338299724994e-20;0
GART;SCO1;0.2949396345314111;1.4607802346167216e-20;0
GART;WDR7;0.29337579505535666;2.3692558540249025e-20;0
GART;MRPS25;0.29200959402739857;3.606046447799076e-20;0
GART;DNM2;0.2920033351561263;3.612973200064505e-20;0
GART;BRD9;0.2916797211872623;3.9895919819974856e-20;0
GART;QRSL1;0.2912604772672689;4.5356057336737063e-20;0
GART;USP19;-0,291024605;4.8745646221922294e-20;0
GART;MRPL39;0.2908534299047211;5.136087678877801e-20;0
GART;MTHFD2;0.29058003312566977;5.58278401963788e-20;0
GART;SUPT20H;0.2905385986082772;5.653747880689611e-20;0
GART;MRPL43;0.29028096862619485;6.11539187782821e-20;0
GART;EMC6;0.28958224869589627;7.563060935394742e-20;0
GART;MRPL13;0.28750503516692993;1.417407089798232e-19;0
GART;NARS2;0.28639814049473467;1.9766686934397e-19;0
GART;NCKAP1;-0,286356271;2.001634524426934e-19;0
GART;MYB;0.2858815497754506;2.3074054812986597e-19;0
GART;MRPS33;0.2856688579019722;2.4589340280877054e-19;0
GART;ISCA1;0.28557374153892673;2.5298353836564913e-19;0
GART;PDSS1;0.2852169376335923;2.814235724681401e-19;0
GART;SDHD;0,284907698;3.086078321822271e-19;0
GART;MPI;0,284696144;3.2868075738139507e-19;0
GART;TAF5L;0.28371803570334203;4.395429756480756e-19;0
GART;SUPT7L;0.28369272755932134;4.428542153032322e-19;0
GART;ITGAV;-0,282654919;6.020498070409742e-19;0
GART;HARS2;0.28264110232805356;6.045109767981665e-19;0
GART;PEDS1;0.28245384967501524;6.388624636928696e-19;0
GART;PTK2;-0,282378954;6.531347409193648e-19;0
GART;SARS2;0.2819983631665492;7.306647206103997e-19;0
GART;MED24;0,281410461;8.686021498402616e-19;0
GART;MRPS10;0.2806294167630652;1.0922424475009332e-18;0
GART;MRPL20;0.28033886859583246;1.1891905566308228e-18;0
GART;MRPL17;0.2797282107944739;1.4214484232964808e-18;0
GART;N6AMT1;0.2794725944467569;1.5314613474923084e-18;0
GART;RARS2;0.27930576679895686;1.6077452437209337e-18;0
GART;AARS2;0.27900583282055813;1.7544302139608633e-18;0
GART;ATP1B3;0.2789920431030563;1.7614824862996026e-18;0
GART;TMEM208;0.2787886689655384;1.868795398591672e-18;0
GART;DOT1L;0.27786020050221777;2.4464877188675565e-18;0
GART;MRPL55;0.27695480514940296;3.1782517097299607e-18;0
GART;WDR81;0,27644966;3.676294887101873e-18;0
GART;PFDN5;-0,275030893;5.524266692047231e-18;0
GART;DAP3;0.27490273783000974;5.7305928494288276e-18;0
GART;TADA2B;0.2745746785281174;6.2939983342385875e-18;0
GART;SLC25A32;0.2736858732026706;8.109425283449754e-18;0
GART;TFB2M;0.2735133536741228;8.517393675378171e-18;0
GART;MBNL1;0.2733155982729453;9.009957827836597e-18;0
GART;MED12;0.27314318791707554;9.462223316906372e-18;0
GART;PDCD10;0.27224555212741813;1.2203641722253521e-17;0
GART;PRORP;0.27181903374886096;1.37672779611778e-17;0
GART;VCL;-0,271101519;1.685462710926176e-17;0
GART;RTTN;0.2698436575995142;2.3995522127203223e-17;0
